  #K-Path    Energy        Ti        Al        Ga
# NKPTS & NBANDS: 180 128
# Band-Index:    1
    4.359  -56.9211     0.996     0.000     0.000
    4.339  -56.9211     0.996     0.000     0.000
    4.319  -56.9211     0.996     0.000     0.000
    4.299  -56.9211     0.996     0.000     0.000
    4.279  -56.9210     0.996     0.000     0.000
    4.259  -56.9210     0.996     0.000     0.000
    4.239  -56.9210     0.996     0.000     0.000
    4.220  -56.9210     0.996     0.000     0.000
    4.200  -56.9210     0.996     0.000     0.000
    4.180  -56.9210     0.996     0.000     0.000
    4.160  -56.9210     0.996     0.000     0.000
    4.140  -56.9210     0.996     0.000     0.000
    4.120  -56.9210     0.996     0.000     0.000
    4.100  -56.9210     0.996     0.000     0.000
    4.080  -56.9210     0.996     0.000     0.000
    4.060  -56.9210     0.996     0.000     0.000
    4.040  -56.9210     0.996     0.000     0.000
    4.040  -56.9199     0.996     0.000     0.000
    4.000  -56.9199     0.996     0.000     0.000
    3.960  -56.9199     0.996     0.000     0.000
    3.920  -56.9199     0.996     0.000     0.000
    3.881  -56.9199     0.996     0.000     0.000
    3.841  -56.9199     0.996     0.000     0.000
    3.801  -56.9199     0.996     0.000     0.000
    3.761  -56.9200     0.996     0.000     0.000
    3.721  -56.9200     0.996     0.000     0.000
    3.681  -56.9200     0.996     0.000     0.000
    3.641  -56.9200     0.996     0.000     0.000
